"ranking","problema","descricao","desenvolvimento","arquivo_fonte","nota_dor_financeira","ponderada_dor_financeira","nota_gambiarras","ponderada_gambiarras","nota_frequencia","ponderada_frequencia","nota_urgencia","ponderada_urgencia","nota_dor_tempo","ponderada_dor_tempo","nota_risco","ponderada_risco","nota_frustracao","ponderada_frustracao","nota_consequencia_erro","ponderada_consequencia_erro","nota_observabilidade","ponderada_observabilidade","nota_clareza_persona","ponderada_clareza_persona","nota_tam","ponderada_tam","nota_crescimento","ponderada_crescimento","nota_monopolio_local","ponderada_monopolio_local","nota_amplitude","ponderada_amplitude","nota_escala_nao_linear","ponderada_escala_nao_linear","nota_ticket","ponderada_ticket","nota_expansao","ponderada_expansao","nota_penetracao_digital","ponderada_penetracao_digital","nota_internacionalizacao","ponderada_internacionalizacao","nota_dep_infraestrutura","ponderada_dep_infraestrutura","nota_timing_tech","ponderada_timing_tech","nota_timing_regulatorio","ponderada_timing_regulatorio","nota_mudanca_comportamental","ponderada_mudanca_comportamental","nota_pressao_macro","ponderada_pressao_macro","nota_janela","ponderada_janela","nota_acesso_usuarios","ponderada_acesso_usuarios","nota_velocidade_validacao","ponderada_velocidade_validacao","nota_facilidade_mvp","ponderada_facilidade_mvp","nota_mudanca_habito","ponderada_mudanca_habito","nota_dados_disponiveis","ponderada_dados_disponiveis","nota_aha_moment","ponderada_aha_moment","nota_multiplos_lados","ponderada_multiplos_lados","nota_feedback","ponderada_feedback","nota_wtp","ponderada_wtp","nota_clareza_pagador","ponderada_clareza_pagador","nota_orcamento","ponderada_orcamento","nota_ciclo_vendas","ponderada_ciclo_vendas","nota_recorrencia","ponderada_recorrencia","nota_poder_preco","ponderada_poder_preco","nota_cac","ponderada_cac","nota_ausencia_monopolios","ponderada_ausencia_monopolios","nota_efeito_rede","ponderada_efeito_rede","nota_switching_cost","ponderada_switching_cost","nota_dados_proprietarios","ponderada_dados_proprietarios","nota_diferenciacao_10x","ponderada_diferenciacao_10x","nota_fragmentacao","ponderada_fragmentacao","nota_tarpit","ponderada_tarpit","nota_risco_legal","ponderada_risco_legal","nota_platform_risk","ponderada_platform_risk","nota_alinhamento_ods","ponderada_alinhamento_ods","subtotal_1_dor_comportamento","pct_1_dor_comportamento","subtotal_2_mercado_escala","pct_2_mercado_escala","subtotal_3_timing","pct_3_timing","subtotal_4_validacao_lean","pct_4_validacao_lean","subtotal_5_monetizacao","pct_5_monetizacao","subtotal_6_defensibilidade","pct_6_defensibilidade","subtotal_7_riscos_fatais","pct_7_riscos_fatais","total_geral","max_total","pct_total"
"11","O Colapso Da Governança Sistêmica Nos Modelos Multilaterais","Instituições desenhadas no pós-Guerra (ONU, FMI) não conseguem coordenar com agilidade a tríade indissociável das crises atuais: Minerais Críticos, Escassez Hídrica e Mudança de Clima.","Cada país legisla em desespero individual; as Nações Unidas tornam-se inoperantes, restando apenas sanções vazias ou omissão em blocos de interesse bélico. Oportunidade: surgimento de ""Think Tanks Privados"" com inteligência artificial diplomática (Modelagem de Resolução e Teoria dos Jogos Global) atuando como as novas entidades de mediação multilateral entre grandes fundos e Estados soberanos.","100_novos_problemas_sociedade_aprofundados.csv","5","25","5","25","5","25","7","28","6","24","7","28","5","20","6","24","7","21","7","21","7","35","8","40","6","24","5","15","8","32","6","18","6","18","5","15","6","12","5","10","9","45","7","35","6","24","10","40","8","32","6","30","4","20","6","24","6","24","5","15","5","15","6","18","6","18","5","25","6","30","6","24","4","12","6","18","5","15","5","15","7","28","4","16","5","20","5","15","7","21","6","12","5","25","6","24","7","28","9","27","241","58.8","219","64.4","176","80.0","164","54.7","139","53.5","112","56.0","104","65.0","1155","1890","61.1"
"12","Falta Estrutural de Profissionais de Cuidados","O mundo desenvolvido e os emergentes envelhecem rápido, mas a oferta de cuidadores humanos despenca.","A geração Z rejeita profissões exaustivas, mal pagas e de baixo status, causando escassez de milhões de leitos e profissionais de saúde. Oportunidade: modelos de ""Care-as-a-Service"", combinando monitoramento remoto via IoT, enfermeiros humanos sob demanda e exoesqueletos robóticos para esforço físico.","100_novos_problemas_sociedade_aprofundados.csv","6","30","5","25","6","30","5","20","5","20","5","20","6","24","5","20","7","21","8","24","7","35","9","45","6","24","7","21","9","36","6","18","6","18","6","18","5","10","5","10","9","45","6","30","9","36","6","24","8","32","5","25","4","20","6","24","6","24","6","18","6","18","6","18","6","18","5","25","6","30","6","24","5","15","6","18","5","15","5","15","7","28","5","20","5","20","5","15","7","21","6","12","5","25","5","20","8","32","6","18","234","57.1","235","69.1","167","75.9","165","55.0","142","54.6","116","58.0","95","59.4","1154","1890","61.1"
"13","Insolvência Sistêmica de Resseguradoras Climáticas","A sobreposição de catástrofes simultâneas (secas + furacões) consome as reservas financeiras de proteção global.","O aumento da severidade e frequência das catástrofes ultrapassa os piores cenários atuariais, ameaçando a solidez do mercado financeiro que banca o risco global. Oportunidade: Cat Bonds (Títulos Catastróficos) tokenizados, pulverizando o risco de clima em mercados de capitais amplos de investidores de varejo.","100_novos_problemas_sociedade_aprofundados.csv","6","30","5","25","5","25","6","24","5","20","7","28","6","24","6","24","6","18","6","18","10","50","7","35","6","24","5","15","8","32","6","18","6","18","6","18","6","12","6","12","6","30","7","35","6","24","9","36","7","28","6","30","5","25","5","20","6","24","6","18","5","15","6","18","6","18","6","30","6","30","6","24","5","15","8","24","5","15","5","15","7","28","5","20","5","20","5","15","7","21","6","12","6","30","3","12","6","24","9","27","236","57.6","234","68.8","153","69.5","168","56.0","153","58.8","116","58.0","93","58.1","1153","1890","61.0"
"14","Risco de insolvência de seguradoras em eventos extremos","Séries de desastres em sequência podem consumir rapidamente capital de seguradoras e resseguradoras.","Enchentes históricas, ciclones e secas prolongadas ocorrem com menor intervalo entre si, provocando picos de sinistros; sem mecanismos como fundos catastróficos público-privados, resseguros bem distribuídos e modelos de precificação aderentes ao novo clima, há risco de falhas de mercado justamente quando a proteção é mais necessária.","100-200 oportunidades_problemas.csv","6","30","5","25","6","30","6","24","5","20","6","24","6","24","6","24","6","18","6","18","7","35","8","40","6","24","5","15","8","32","6","18","6","18","6","18","5","10","6","12","9","45","7","35","6","24","10","40","7","28","6","30","5","25","6","24","6","24","6","18","5","15","6","18","6","18","5","25","5","25","5","20","5","15","6","18","5","15","6","18","7","28","5","20","5","20","5","15","6","18","6","12","5","25","6","24","6","24","9","27","237","57.8","222","65.3","172","78.2","172","57.3","136","52.3","113","56.5","100","62.5","1152","1890","61.0"
"15","Abandono Algorítmico do Crédito Rural de Pequeno Porte (Agricultura Familiar)","Bancos usam IAs e satélites baseados nos vastos latifúndios do Centro-Oeste para pontuar crédito; quando o pequeno produtor do Nordeste tenta financiamento, a IA não entende seu modelo de consórcio (feijão e milho juntos) e nega o crédito por 'ineficiência visual'.","A máquina é treinada para aprovar monocultura predatória e punir o pequeno fazendeiro orgânico. Oportunidade: Agritechs financeiras operadas via oráculos locais descentralizados e agrônomos regionais que traduzem policulturas complexas para o formato de crédito regenerativo de fundos verdes globais.","100_novos_problemas_fase_5.csv","6","30","5","25","5","25","5","20","5","20","5","20","6","24","5","20","7","21","7","21","10","50","9","45","6","24","5","15","10","40","6","18","6","18","4","12","5","10","4","8","10","50","5","25","6","24","6","24","8","32","6","30","5","25","5","20","6","24","6","18","5","15","6","18","6","18","6","30","6","30","6","24","5","15","8","24","5","15","6","18","7","28","5","20","5","20","5","15","7","21","6","12","5","25","4","16","7","28","7","21","226","55.1","240","70.6","155","70.5","168","56.0","156","60.0","116","58.0","90","56.2","1151","1890","60.9"
"16","Desvio e Escassez da Mão de Obra do Cuidado Diante do E-commerce","Enfermeiros básicos e cuidadores de idosos trocam a pressão e os salários precários dos asilos e hospitais pela flexibilidade de dirigir Uber ou fazer entregas do Mercado Livre, colapsando a rede de assistência silver.","A caixa de sapato chega em 2h, mas não tem ninguém para dar banho no idoso de 80 anos na cidade. Oportunidade: Criação de Cooperativas Tech de 'Cuidado Compartilhado', que aplicam a flexibilidade dinâmica do modelo Uber aos cuidados domiciliares através de jornadas fatiadas ultra-pagas e protegidas.","100_novos_problemas_fase_5.csv","6","30","6","30","5","25","6","24","6","24","5","20","6","24","5","20","7","21","10","30","6","30","10","50","6","24","5","15","8","32","6","18","6","18","5","15","5","10","5","10","9","45","4","20","9","36","6","24","8","32","6","30","4","20","6","24","6","24","6","18","5","15","5","15","6","18","5","25","6","30","6","24","4","12","6","18","5","15","5","15","7","28","6","24","5","20","5","15","8","24","6","12","5","25","6","24","7","28","7","21","248","60.5","222","65.3","157","71.4","164","54.7","139","53.5","123","61.5","98","61.3","1151","1890","60.9"
"17","Biopirataria Algorítmica da Fauna Sul-Americana pelas Big Pharmas","Laboratórios globais raspam dados genéticos digitalizados e patentes antigas de extratos da Amazônia, processam essas moléculas em IAs preditivas na Europa, patenteiam o resultado sintético lá fora e vendem o remédio de volta à América Latina por mil dólares.","A IA permitiu o roubo invisível do patrimônio genético florestal sem pisar na floresta. Oportunidade: Criação de 'Bolsas de Bio-Tokens' estatais; registros criptografados do DNA de plantas nativas que garantem via Smart Contracts o pagamento de royalties eternos à união e tribos locais sempre que a assinatura química for usada num LLM comercial.","100_novos_problemas_fase_5.csv","6","30","5","25","5","25","5","20","5","20","5","20","5","20","5","20","8","24","7","21","8","40","9","45","6","24","5","15","10","40","6","18","6","18","6","18","4","8","6","12","9","45","5","25","6","24","6","24","8","32","6","30","6","30","6","24","6","24","6","18","6","18","6","18","6","18","7","35","6","30","6","24","6","18","8","24","5","15","5","15","7","28","5","20","5","20","5","15","7","21","6","12","5","25","4","16","7","28","4","12","225","54.9","238","70.0","150","68.2","180","60.0","161","61.9","116","58.0","81","50.6","1151","1890","60.9"
"18","Fadiga de Ferramentas e Burnout do Modelo Híbrido","A adoção caótica de dezenas de SaaS (Slack, Teams, Asana, Zoom) destruiu as fronteiras entre trabalho e descanso.","O excesso de notificações simultâneas fragmenta a atenção, corrói o foco profundo e exaure os trabalhadores sob a falsa promessa de produtividade. Oportunidade: plataformas minimalistas de comunicação corporativa que usam IA para agrupar e resumir todas as interações em um único ""briefing"" assíncrono diário.","100_novos_problemas_sociedade_aprofundados.csv","5","25","5","25","7","35","5","20","6","24","5","20","6","24","5","20","6","18","7","21","6","30","8","40","6","24","6","18","10","40","6","18","6","18","5","15","5","10","6","12","9","45","5","25","8","32","6","24","8","32","6","30","5","25","7","28","6","24","5","15","5","15","7","21","6","18","5","25","6","30","6","24","6","18","7","21","5","15","5","15","7","28","6","24","5","20","5","15","7","21","6","12","5","25","6","24","7","28","5","15","232","56.6","225","66.2","158","71.8","176","58.7","148","56.9","120","60.0","92","57.5","1151","1890","60.9"
"19","Vulnerabilidade Crítica de Startups Baseadas Apenas em Funcionalidade de IA","Um volume insano de capital foi aportado em empresas ""wrapper"" (que apenas envelopam o ChatGPT) e que perdem todo seu diferencial em semanas.","Como os LLMs melhoram vorazmente, eles fagocitam soluções inteiras da noite para o dia, esmagando fundadores inexperientes. Oportunidade: negócios B2B focados em dados proprietários massivos da indústria pesada (Boring Tech), nos quais a IA é apenas a interface, mas o diferencial (Moat) é o acesso aos sistemas fechados.","100_novos_problemas_sociedade_aprofundados.csv","6","30","5","25","5","25","5","20","5","20","5","20","6","24","5","20","7","21","9","27","6","30","8","40","6","24","6","18","10","40","6","18","6","18","6","18","5","10","6","12","10","50","5","25","6","24","6","24","8","32","7","35","5","25","7","28","6","24","6","18","5","15","6","18","6","18","6","30","6","30","6","24","5","15","6","18","5","15","5","15","7","28","5","20","6","24","6","18","6","18","6","12","5","25","6","24","6","24","5","15","232","56.6","228","67.1","155","70.5","181","60.3","147","56.5","120","60.0","88","55.0","1151","1890","60.9"
"20","Conflitos entre mineração e segurança hídrica regional","Expansão da mineração em regiões de estresse hídrico agrava disputas por água entre setores produtivos e populações locais.","Processos de extração e beneficiamento consomem grandes quantidades de água e podem contaminar bacias inteiras; em contextos de seca recorrente, o avanço de projetos sem planejamento integrado água-energia-mineração eleva a percepção de injustiça ambiental e o risco de bloqueios, protestos e perda de licença social para operar.","100-200 oportunidades_problemas.csv","6","30","5","25","6","30","6","24","6","24","8","32","6","24","6","24","7","21","7","21","10","50","8","40","7","28","5","15","6","24","8","24","6","18","5","15","4","8","1","2","6","30","7","35","6","24","10","40","6","24","6","30","5","25","1","4","6","24","5","15","5","15","6","18","6","18","6","30","6","30","6","24","5","15","6","18","6","18","5","15","7","28","5","20","6","24","5","15","6","18","6","12","6","30","3","12","7","28","10","30","255","62.2","224","65.9","153","69.5","149","49.7","150","57.7","117","58.5","100","62.5","1148","1890","60.7"
"21","Sufocamento Produtivo Pelos Longos Ciclos de Transição de Solo Degradado","Fazendeiros que querem parar de usar química suicida precisam de 3 a 5 anos curando a terra; mas nesse período, a produção despenca brutalmente e o banco corta as linhas de crédito.","A transição ESG é o suicídio econômico de curto prazo do produtor de carne e grão. Oportunidade: fundos de ""Venture Agro"" (Transition Finance) comprando a terra como Equity Partner e repassando o fluxo de caixa morto até que a biologia volte à capacidade Premium Regenerativa avaliada por microssatélites.","100_novos_problemas_fase_3.csv","6","30","5","25","6","30","5","20","6","24","5","20","5","20","5","20","7","21","7","21","10","50","9","45","6","24","5","15","10","40","6","18","6","18","4","12","5","10","4","8","10","50","6","30","6","24","6","24","8","32","6","30","4","20","5","20","6","24","6","18","5","15","6","18","6","18","6","30","5","25","6","24","4","12","8","24","5","15","5","15","7","28","5","20","5","20","5","15","7","21","6","12","5","25","4","16","7","28","8","24","231","56.3","240","70.6","160","72.7","163","54.3","145","55.8","116","58.0","93","58.1","1148","1890","60.7"
"22","Exclusão Digital e Isolamento Bancário do Idoso","A corrida para digitalizar governos e bancos exclui milhões de idosos sem letramento tecnológico ou destreza motora para apps complexos.","Ao matar agências físicas e impor senhas algorítmicas, a sociedade rouba a autonomia financeira e a dignidade civil dos mais velhos. Oportunidade: fintechs prateadas com biometria de voz humanizada, cartões físicos antifraude com curadoria via LLMs treinados em conversação paciente.","100_novos_problemas_sociedade_aprofundados.csv","6","30","5","25","5","25","5","20","5","20","5","20","6","24","5","20","6","18","8","24","8","40","9","45","6","24","6","18","10","40","7","21","6","18","6","18","5","10","5","10","10","50","6","30","6","24","6","24","8","32","5","25","6","30","7","28","6","24","5","15","5","15","6","18","6","18","6","30","5","25","6","24","4","12","8","24","5","15","5","15","7","28","5","20","5","20","5","15","7","21","6","12","5","25","3","12","8","32","5","15","226","55.1","244","71.8","160","72.7","173","57.7","145","55.8","116","58.0","84","52.5","1148","1890","60.7"
